Date,TNX
6/1/2017,2.217
6/2/2017,2.159
6/5/2017,2.182
6/6/2017,2.147
6/7/2017,2.178
6/8/2017,2.194
6/9/2017,2.199
6/12/2017,2.213
6/13/2017,2.207
6/14/2017,2.138
6/15/2017,2.162
6/16/2017,2.157
6/19/2017,2.19
6/20/2017,2.153
6/21/2017,2.155
6/22/2017,2.153
6/23/2017,2.144
6/26/2017,2.137
6/27/2017,2.198
6/28/2017,2.221
6/29/2017,2.267
6/30/2017,2.302
7/3/2017,2.346
7/5/2017,2.334
7/6/2017,2.37
7/7/2017,2.393
7/10/2017,2.371
7/11/2017,2.362
7/12/2017,2.327
7/13/2017,2.348
7/14/2017,2.319
7/17/2017,2.309
7/18/2017,2.263
7/19/2017,2.268
7/20/2017,2.266
7/21/2017,2.232
7/24/2017,2.254
7/25/2017,2.326
7/26/2017,2.282
7/27/2017,2.31
7/28/2017,2.289
7/31/2017,2.292
8/1/2017,2.251
8/2/2017,2.262
8/3/2017,2.228
8/4/2017,2.267
8/7/2017,2.257
8/8/2017,2.283
8/9/2017,2.241
8/10/2017,2.212
8/11/2017,2.189
8/14/2017,2.219
8/15/2017,2.266
8/16/2017,2.226
8/17/2017,2.199
8/18/2017,2.194
8/21/2017,2.18
8/22/2017,2.215
8/23/2017,2.171
8/24/2017,2.194
8/25/2017,2.169
8/28/2017,2.159
8/29/2017,2.136
8/30/2017,2.143
8/31/2017,2.121
9/1/2017,2.157
9/5/2017,2.07
9/6/2017,2.108
9/7/2017,2.061
9/8/2017,2.061
9/11/2017,2.125
9/12/2017,2.171
9/13/2017,2.195
9/14/2017,2.197
9/15/2017,2.202
9/18/2017,2.229
9/19/2017,2.243
9/20/2017,2.277
9/21/2017,2.278
9/22/2017,2.262
9/25/2017,2.22
9/26/2017,2.229
9/27/2017,2.309
9/28/2017,2.309
9/29/2017,2.326
10/2/2017,2.337
10/3/2017,2.334
10/4/2017,2.33
10/5/2017,2.35
10/6/2017,2.37
10/9/2017,2.361
10/10/2017,2.345
10/11/2017,2.345
10/12/2017,2.323
10/13/2017,2.28
10/16/2017,2.307
10/17/2017,2.298
10/18/2017,2.339
10/19/2017,2.321
10/20/2017,2.381
10/23/2017,2.376
10/24/2017,2.406
10/25/2017,2.444
10/26/2017,2.452
10/27/2017,2.428
10/30/2017,2.37
10/31/2017,2.376
11/1/2017,2.376
11/2/2017,2.347
11/3/2017,2.343
11/6/2017,2.32
11/7/2017,2.307
11/8/2017,2.325
11/9/2017,2.331
11/10/2017,2.4
11/13/2017,2.4
11/14/2017,2.381
11/15/2017,2.335
11/16/2017,2.361
11/17/2017,2.354
11/20/2017,2.372
11/21/2017,2.363
11/22/2017,2.322
11/24/2017,2.34
11/27/2017,2.328
11/28/2017,2.338
11/29/2017,2.376
11/30/2017,2.417
12/1/2017,2.362
12/4/2017,2.379
12/5/2017,2.356
12/6/2017,2.33
12/7/2017,2.376
12/8/2017,2.383
12/11/2017,2.385
12/12/2017,2.403
12/13/2017,2.349
12/14/2017,2.346
12/15/2017,2.355
12/18/2017,2.392
12/19/2017,2.463
12/20/2017,2.497
12/21/2017,2.481
12/22/2017,2.485
12/26/2017,2.467
12/27/2017,2.414
12/28/2017,2.432
12/29/2017,2.405
1/2/2018,2.465
1/3/2018,2.447
1/4/2018,2.453
1/5/2018,2.476
1/8/2018,2.48
1/9/2018,2.546
1/10/2018,2.55
1/11/2018,2.531
1/12/2018,2.552
1/16/2018,2.544
1/17/2018,2.578
1/18/2018,2.611
1/19/2018,2.637
1/22/2018,2.665
1/23/2018,2.624
1/24/2018,2.654
1/25/2018,2.621
1/26/2018,2.662
1/29/2018,2.699
1/30/2018,2.726
1/31/2018,2.72
2/1/2018,2.773
2/2/2018,2.854
2/5/2018,2.794
2/6/2018,2.768
2/7/2018,2.844
2/8/2018,2.851
2/9/2018,2.829
2/12/2018,2.857
2/13/2018,2.84
2/14/2018,2.913
2/15/2018,2.891
2/16/2018,2.877
2/20/2018,2.893
2/21/2018,2.943
2/22/2018,2.917
2/23/2018,2.871
2/26/2018,2.859
2/27/2018,2.908
2/28/2018,2.868
3/1/2018,2.804
3/2/2018,2.857
3/5/2018,2.881
3/6/2018,2.877
3/7/2018,2.883
3/8/2018,2.866
3/9/2018,2.894
3/12/2018,2.87
3/13/2018,2.848
3/14/2018,2.817
3/15/2018,2.826
3/16/2018,2.848
3/19/2018,2.845
3/20/2018,2.879
3/21/2018,2.907
3/22/2018,2.832
3/23/2018,2.83
3/26/2018,2.843
3/27/2018,2.786
3/28/2018,2.775
3/29/2018,2.741
4/2/2018,2.732
4/3/2018,2.784
4/4/2018,2.788
4/5/2018,2.832
4/6/2018,2.775
4/9/2018,2.786
4/10/2018,2.797
4/11/2018,2.79
4/12/2018,2.834
4/13/2018,2.829
4/16/2018,2.832
4/17/2018,2.814
4/18/2018,2.867
4/19/2018,2.914
4/20/2018,2.951
4/23/2018,2.973
4/24/2018,2.983
4/25/2018,3.024
4/26/2018,2.99
4/27/2018,2.957
4/30/2018,2.936
5/1/2018,2.976
5/2/2018,2.964
5/3/2018,2.946
5/4/2018,2.944
5/7/2018,2.95
5/8/2018,2.969
5/9/2018,3.004
5/10/2018,2.971
5/11/2018,2.971
5/14/2018,2.995
5/15/2018,3.08
5/16/2018,3.095
5/17/2018,3.109
5/18/2018,3.067
5/21/2018,3.065
5/22/2018,3.065
5/23/2018,3.003
5/24/2018,2.981
5/25/2018,2.931
5/29/2018,2.768
5/30/2018,2.842
5/31/2018,2.822
6/1/2018,2.895
6/4/2018,2.937
6/5/2018,2.919
6/6/2018,2.975
6/7/2018,2.933
6/8/2018,2.937
6/11/2018,2.957
6/12/2018,2.957
6/13/2018,2.977
6/14/2018,2.946
6/15/2018,2.924
6/18/2018,2.926
6/19/2018,2.893
6/20/2018,2.928
6/21/2018,2.897
6/22/2018,2.9
6/25/2018,2.875
6/26/2018,2.88
6/27/2018,2.827
6/28/2018,2.847
6/29/2018,2.849
7/2/2018,2.866
7/3/2018,2.838
7/5/2018,2.84
7/6/2018,2.831
7/9/2018,2.86
7/10/2018,2.873
7/11/2018,2.842
7/12/2018,2.853
7/13/2018,2.831
7/16/2018,2.858
7/17/2018,2.864
7/18/2018,2.875
7/19/2018,2.847
7/20/2018,2.895
7/23/2018,2.965
7/24/2018,2.949
7/25/2018,2.936
7/26/2018,2.975
7/27/2018,2.96
7/30/2018,2.975
7/31/2018,2.964
