Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
9/3/2015,0.323843,0.359431,0.316726,0.007117,1993.48,1867.08,1948.86
8/27/2015,0.325,0.292308,0.382692,-0.057692,2103.47,1867.01,1940.51
8/20/2015,0.268199,0.398467,0.333333,-0.065134,2103.47,2052.09,2079.61
8/13/2015,0.304519,0.333988,0.361493,-0.056974,2112.66,2052.09,2086.05
8/6/2015,0.243187,0.440252,0.316562,-0.073375,2114.24,2063.52,2099.84
7/30/2015,0.211055,0.38191,0.407035,-0.19598,2132.82,2063.52,2108.57
7/23/2015,0.3254,0.4187,0.256,0.0694,2132.82,2102.49,2114.15
7/16/2015,0.308108,0.459459,0.232432,0.075676,2114.14,2044.02,2107.4
7/9/2015,0.27907,0.429175,0.291755,-0.012685,2098.63,2044.02,2046.68
7/2/2015,0.226121,0.423002,0.350877,-0.124756,2128.03,2056.32,2077.42
6/25/2015,0.355556,0.427778,0.216667,0.138889,2129.87,2082.1,2108.58
6/18/2015,0.254083,0.402904,0.343013,-0.08893,2115.02,2072.14,2100.44
6/11/2015,0.200375,0.473783,0.325843,-0.125468,2121.92,2072.14,2105.2
6/4/2015,0.273399,0.480296,0.246305,0.027094,2126.22,2099.14,2114.07
5/28/2015,0.270019,0.478585,0.251397,0.018622,2134.72,2099.18,2123.48
5/21/2015,0.252119,0.497881,0.25,0.002119,2134.72,2085.57,2125.85
5/14/2015,0.267442,0.468992,0.263566,0.003876,2117.69,2067.93,2098.48
5/7/2015,0.270563,0.461039,0.268398,0.002165,2120.95,2067.93,2080.15
4/30/2015,0.308362,0.472125,0.219512,0.08885,2125.92,2091.05,2106.85
4/23/2015,0.3147,0.453416,0.231884,0.082816,2111.91,2072.37,2107.96
4/16/2015,0.320675,0.451477,0.227848,0.092827,2111.91,2073.3,2106.63
4/9/2015,0.287016,0.471526,0.241458,0.045558,2089.81,2048.38,2081.9
4/2/2015,0.353952,0.32646,0.319588,0.034364,2107.63,2045.5,2059.69
3/26/2015,0.384298,0.371901,0.243802,0.140496,2114.86,2061.05,2061.05
3/19/2015,0.271605,0.41358,0.314815,-0.04321,2106.85,2039.69,2099.5
3/12/2015,0.315961,0.429967,0.254072,0.061889,2115.76,2039.69,2040.24
3/5/2015,0.398026,0.368421,0.233553,0.164473,2119.59,2087.62,2098.53
2/26/2015,0.453731,0.343284,0.202985,0.250746,2119.59,2085.44,2113.86
2/19/2015,0.470199,0.350993,0.178808,0.291391,2101.3,2041.88,2099.68
2/12/2015,0.4,0.396721,0.203279,0.196721,2073.48,2022.71,2068.53
2/5/2015,0.354949,0.320819,0.324232,0.030717,2057.62,1980.9,2050.03
1/29/2015,0.441718,0.334356,0.223926,0.217792,2064.62,2001.49,2002.16
1/22/2015,0.371429,0.320635,0.307937,0.063492,2056.93,1988.12,2032.12
1/15/2015,0.461059,0.323988,0.214953,0.246106,2064.43,1988.44,2011.27
1/8/2015,0.410072,0.31295,0.276978,0.133094,2093.55,1992.44,2025.9
1/1/2015,0.517375,0.289575,0.19305,0.324325,2093.55,2017.34,2020.58
12/25/2014,0.509434,0.301887,0.188679,0.320755,2093.55,2018.98,2090.57
12/18/2014,0.387352,0.343874,0.268775,0.118577,2060.6,2002.33,2012.89
12/11/2014,0.450172,0.32646,0.223368,0.226804,2079.47,2024.26,2026.14
12/4/2014,0.426778,0.313808,0.259414,0.167364,2076.28,2049.57,2074.33
11/27/2014,0.521452,0.270627,0.207921,0.313531,2075.76,2040.37,2067.56
11/20/2014,0.491176,0.270588,0.238235,0.252941,2056.08,2030.44,2048.72
11/13/2014,0.57931,0.227586,0.193103,0.386207,2041.28,2001.01,2038.25
11/6/2014,0.526882,0.322581,0.150538,0.376344,2024.46,1964.14,2023.57
10/30/2014,0.493711,0.295597,0.210692,0.283019,1991.4,1909.38,1982.3
10/23/2014,0.496875,0.278125,0.225,0.271875,1949.31,1820.66,1927.11
10/16/2014,0.42663,0.236413,0.336957,0.089673,1970.36,1820.66,1862.49
10/9/2014,0.398773,0.291411,0.309816,0.088957,1985.17,1925.25,1968.89
10/2/2014,0.354167,0.336806,0.309028,0.045139,1999.79,1941.72,1946.16
9/25/2014,0.418367,0.29932,0.282313,0.136054,2019.26,1978.63,1998.3
9/18/2014,0.42236,0.347826,0.229814,0.192546,2010.74,1978.48,2001.57
9/11/2014,0.403846,0.330128,0.266026,0.13782,2011.17,1982.99,1995.69
9/4/2014,0.446746,0.313609,0.239645,0.207101,2009.28,1990.52,2000.72
8/28/2014,0.519231,0.288462,0.192308,0.326923,2005.04,1972.73,2000.12
8/21/2014,0.461078,0.302395,0.236527,0.224551,1988.57,1928.29,1986.51
8/14/2014,0.398119,0.332288,0.269592,0.128527,1936.34,1904.78,1946.72
8/7/2014,0.308869,0.308869,0.382263,-0.073394,1984.85,1911.45,1920.24
7/31/2014,0.311224,0.377551,0.311224,0,1991.39,1962.42,1970.07
7/24/2014,0.296296,0.404321,0.299383,-0.003087,1989.23,1955.59,1987.01
7/17/2014,0.323625,0.391586,0.28479,0.038835,1983.94,1952.86,1981.57
7/10/2014,0.376404,0.337079,0.286517,0.089887,1985.59,1958.22,1972.83
7/3/2014,0.385075,0.391045,0.223881,0.161194,1978.58,1944.69,1974.62
6/26/2014,0.372208,0.416873,0.210918,0.16129,1968.17,1933.55,1959.53
6/19/2014,0.351744,0.406977,0.241279,0.110465,1957.74,1925.78,1956.98
6/12/2014,0.446875,0.340625,0.2125,0.234375,1955.55,1918.6,1943.89
6/5/2014,0.395062,0.382716,0.222222,0.17284,1928.63,1902.01,1927.88
5/29/2014,0.364641,0.403315,0.232044,0.132597,1914.46,1868.14,1909.78
5/22/2014,0.304348,0.431677,0.263975,0.040373,1902.17,1862.36,1888.03
5/15/2014,0.33121,0.442675,0.226115,0.105095,1902.17,1859.79,1888.53
5/8/2014,0.283439,0.429936,0.286624,-0.003185,1891.33,1859.79,1878.21
5/1/2014,0.297735,0.407767,0.294498,0.003237,1885.2,1850.61,1883.95
